transaction_id,book_id,member_id,borrow_date,return_date
83,3,116,2024-04-10,2024-08-12
84,89,65,2024-02-15,2024-08-11
85,21,89,2023-11-23,2024-08-09
86,35,118,2024-03-11,2024-08-30
87,74,96,2023-10-18,2024-08-24
88,24,144,2024-02-28,2024-08-16
89,51,33,2024-02-25,2024-08-08
90,62,135,2024-04-16,2024-09-04
91,56,174,2024-07-06,2024-08-28
92,47,130,2024-04-30,2024-08-17
93,81,27,2024-03-06,2024-08-24
94,89,154,2024-02-29,2024-08-15
95,15,52,2024-04-02,2024-08-19
96,46,193,2023-12-27,2024-08-20
97,17,90,2024-03-01,2024-08-09
98,34,24,2024-03-14,2024-09-01
99,16,28,2023-11-09,2024-08-26
100,63,15,2023-08-18,2024-09-02
101,34,122,2023-12-22,2024-08-28
102,37,58,2024-01-14,2024-08-17
103,98,18,2024-02-16,2024-08-14
104,19,57,2024-06-05,2024-08-09
105,99,6,2023-09-20,2024-09-06
106,3,20,2023-10-20,2024-08-25
107,65,1,2024-07-30,2024-08-23
108,52,10,2023-11-11,2024-08-30
109,67,87,2024-04-28,2024-09-02
110,84,144,2023-11-06,2024-08-16
111,45,50,2024-02-05,2024-08-08
112,95,4,2024-04-18,2024-08-15
113,20,117,2023-12-07,2024-08-09
114,32,66,2024-05-15,2024-08-18
115,24,189,2023-10-08,2024-08-24
116,81,102,2024-01-20,2024-08-19
117,67,14,2024-03-12,2024-08-14
118,18,32,2023-11-20,2024-08-10
119,13,184,2023-11-28,2024-08-25
120,54,162,2023-12-03,2024-08-23
121,79,158,2023-09-29,2024-08-16
122,13,167,2024-04-17,2024-09-03
123,54,198,2024-07-21,2024-08-30
124,60,131,2023-12-09,2024-08-09
125,64,197,2024-02-24,2024-08-28
126,58,127,2023-10-25,2024-08-17
127,54,65,2023-12-17,2024-09-01
128,2,161,2023-08-17,2024-08-31
129,74,135,2024-05-15,2024-08-14
130,1,194,2024-05-30,2024-08-27
131,73,159,2024-07-26,2024-08-16
132,59,185,2024-05-04,2024-09-02
133,74,4,2024-07-01,2024-08-22
134,77,28,2024-03-19,2024-08-31
135,68,40,2023-09-12,2024-08-29
136,81,147,2023-08-13,2024-08-29
137,11,101,2024-02-25,2024-08-24
138,83,143,2023-12-26,2024-08-11
139,58,21,2024-07-05,2024-09-03
140,1,10,2024-06-26,2024-08-13
141,64,40,2024-08-07,2024-09-04
142,3,26,2024-01-31,2024-08-23
143,30,60,2024-06-14,2024-09-05
144,75,63,2024-04-07,2024-08-30
145,84,148,2024-02-02,2024-08-11
146,84,134,2023-10-15,2024-08-27
147,96,31,2024-02-19,2024-08-23
148,79,81,2023-11-16,2024-08-29
149,34,111,2023-09-23,2024-08-15
150,14,49,2023-12-29,2024-08-15
